[15:46:01] [INFO] received Windows console close event; shutting log-core down
[15:47:57] [INFO] received Windows console close event; shutting log-core down
[15:48:24] [INFO] received Windows console close event; shutting log-core down
[15:49:02] [INFO] received Windows console close event; shutting log-core down
[15:49:19] [INFO] received Windows console close event; shutting log-core down
[15:51:35] [INFO] received Windows console close event; shutting log-core down
[15:57:49] [INFO] received Windows console close event; shutting log-core down
[15:59:06] [INFO] received Windows console close event; shutting log-core down
[16:47:18] [INFO] received Windows console close event; shutting log-core down
[17:23:42] [INFO] received Windows console close event; shutting log-core down
[17:47:55] [INFO] received Windows console close event; shutting log-core down
[17:48:48] [INFO] received Windows console close event; shutting log-core down
[17:53:52] [INFO] received Windows console close event; shutting log-core down
[18:07:37] [INFO] received Windows console close event; shutting log-core down
[18:08:26] [INFO] received Windows console close event; shutting log-core down
[18:08:39] [INFO] received Windows console close event; shutting log-core down
[18:09:47] [INFO] received Windows console close event; shutting log-core down
[18:16:41] [INFO] received Windows console close event; shutting log-core down
[18:19:41] [INFO] received Windows console close event; shutting log-core down
[18:20:26] [INFO] received Windows console close event; shutting log-core down
[18:22:02] [INFO] received Windows console close event; shutting log-core down
[18:22:51] [INFO] received Windows console close event; shutting log-core down
[18:29:45] [INFO] received Windows console close event; shutting log-core down
[18:34:29] [INFO] received Windows console close event; shutting log-core down
[18:45:40] [INFO] received Windows console close event; shutting log-core down
[19:08:33] [INFO] received Windows console close event; shutting log-core down
[19:17:40] [INFO] received Windows console close event; shutting log-core down
[19:18:51] [INFO] received Windows console close event; shutting log-core down
[19:20:49] [INFO] received Windows console close event; shutting log-core down
[19:27:36] [INFO] received Windows console close event; shutting log-core down
[19:29:59] [INFO] received Windows console close event; shutting log-core down
[19:31:57] [INFO] received Windows console close event; shutting log-core down
[19:52:13] [INFO] received Windows console close event; shutting log-core down
[19:54:54] [INFO] received Windows console close event; shutting log-core down
[19:55:49] [INFO] received Windows console close event; shutting log-core down
[19:59:19] [INFO] received Windows console close event; shutting log-core down
[20:08:30] [INFO] received Windows console close event; shutting log-core down
[20:11:56] [INFO] received Windows console close event; shutting log-core down
[20:30:38] [INFO] received Windows console close event; shutting log-core down
[20:31:52] [INFO] received Windows console close event; shutting log-core down
[20:33:16] [INFO] received Windows console close event; shutting log-core down
[20:40:32] [INFO] received Windows console close event; shutting log-core down
[20:44:09] [INFO] received Windows console close event; shutting log-core down
[20:48:03] [INFO] received Windows console close event; shutting log-core down
[20:54:55] [INFO] received Windows console close event; shutting log-core down
[20:56:03] [INFO] received Windows console close event; shutting log-core down
[20:57:23] [INFO] received Windows console close event; shutting log-core down
[20:57:53] [INFO] received Windows console close event; shutting log-core down
[20:59:29] [INFO] received Windows console close event; shutting log-core down
[21:18:05] [INFO] received Windows console close event; shutting log-core down
[21:18:29] [INFO] received Windows console close event; shutting log-core down
[21:19:08] [INFO] received Windows console close event; shutting log-core down
[21:20:58] [INFO] received Windows console close event; shutting log-core down
[21:22:58] [INFO] received Windows console close event; shutting log-core down
[21:23:51] [INFO] received Windows console close event; shutting log-core down
[21:29:29] [INFO] received Windows console close event; shutting log-core down
[21:34:09] [INFO] received Windows console close event; shutting log-core down
[09:42:04] [INFO] received Windows console close event; shutting log-core down
[10:04:01] [INFO] received Windows console close event; shutting log-core down
[10:04:28] [INFO] received Windows console close event; shutting log-core down
[10:17:45] [INFO] received Windows console close event; shutting log-core down
[10:22:01] [INFO] received Windows console close event; shutting log-core down
[10:30:10] [INFO] received Windows console close event; shutting log-core down
[10:57:54] [INFO] received Windows console close event; shutting log-core down
[10:59:13] [INFO] received Windows console close event; shutting log-core down
[11:00:18] [INFO] received Windows console close event; shutting log-core down
[11:01:24] [INFO] received Windows console close event; shutting log-core down
[11:04:11] [INFO] received Windows console close event; shutting log-core down
[12:37:24] [INFO] received Windows console close event; shutting log-core down
